10325020 1 1 1 1 2 1 1 1 5 1 1 1 2 6 1 6 5 6 1 6 3 5 1 6 6 6 5 4 3 6 1 6 6 6 2 2
10372010 4 5 4 4 4 5 2 2 4 5 4 5 4 4 2 4 3 5 6 6 5 5 4 5 5 4 4 4 5 2 1 3 5 5 4 6
10397010 2 2 2 2 2 1 2 2 2 2 2 2 4 3 2 3 3 3 4 4 5 3 5 5 6 5 5 4 4 3 2 3 5 4 5 5
10477010 1 1 1 1 1 1 1 1 1 1 1 1 2 5 1 6 6 6 1 1 4 5 1 5 5 6 4 3 4 6 2 6 6 6 4 4
10577010 3 3 3 3 5 4 4 2 1 2 4 1 3 3 1 3 4 4 3 4 4 2 3 2 2 4 3 5 4 3 1 3 3 4 5 4
10773020 2 2 2 2 3 4 4 4 3 4 4 2 4 5 2 5 5 4 2 4 3 4 3 4 3 5 5 5 2 4 3 3 4 4 4 4
10773030 5 4 5 5 6 4 5 5 3 4 5 2 3 4 3 4 4 5 5 5 4 4 3 4 3 5 4 5 2 4 2 3 4 4 4 4
10962010 6 3 4 1 3 1 4 4 3 1 3 3 1 6 1 6 6 6 5 3 1 6 1 6 6 6 3 1 6 5 1 6 6 6 5 2
11377010 5 5 5 4 2 5 5 5 4 4 4 4 5 5 3 5 5 5 4 3 4 4 1 5 5 5 3 4 5 5 5 4 4 4 5 4
11377040 4 4 4 1 3 3 4 3 3 3 3 1 5 3 6 4 3 4 5 5 4 5 1 2 1 3 3 6 4 3 1 4 3 4 4 4
11611010 1 1 1 1 2 1 1 1 2 1 2 1 1 5 1 5 5 5 2 2 2 4 2 5 4 4 3 2 1 5 1 6 5 5 2 4
11690010 5 3 3 3 1 1 1 1 5 2 3 3 3 6 3 6 6 6 4 5 1 6 1 4 4 6 2 3 4 5 3 5 5 6 3 6
11787010 4 1 1 1 1 1 2 2 1 1 1 1 3 1 4 6 6 6 1 3 3 1 1 5 6 6 1 1 1 6 1 6 6 6 1 2
11983040 1 1 1 1 1 1 1 1 1 1 1 1 1 6 1 5 4 5 1 1 1 6 1 6 5 6 2 1 2 5 1 6 6 6 2 2
12009010 2 1 3 1 2 1 3 2 4 2 2 2 4 3 1 3 5 6 3 2 4 3 1 3 4 6 2 5 4 2 2 3 3 4 2 3
12033011 3 4 3 3 1 1 1 1 1 1 3 1 3 5 1 4 6 6 3 2 1 6 1 5 5 6 4 1 2 4 1 5 4 5 3 2
12161010 2 1 2 1 1 1 1 1 3 3 3 3 3 4 1 5 5 6 4 4 3 5 1 5 5 6 5 3 4 4 4 5 5 5 4 4
12218010 3 2 2 1 6 3 3 4 5 6 4 5 5 4 4 5 3 4 4 5 4 5 2 5 3 4 4 5 6 1 5 2 2 2 6 6
12218020 4 4 4 4 4 3 3 3 4 5 5 4 5 3 4 2 5 5 3 3 4 2 4 6 5 4 4 4 6 2 5 1 2 2 5 6
12243030 1 1 1 1 1 1 1 1 1 4 1 1 4 3 4 6 5 5 3 6 3 4 3 6 5 5 2 6 1 3 4 6 6 6 5 3
12276030 3 2 3 1 1 1 1 1 1 2 2 1 1 6 1 6 6 6 1 5 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
12280020 1 1 1 1 1 1 1 1 1 1 1 1 1 6 1 6 5 5 2 2 1 6 1 6 6 6 2 1 1 5 1 5 5 5 2 2
12280030 1 1 1 1 1 1 1 1 2 1 1 1 4 3 1 6 5 6 4 3 6 3 1 3 3 6 5 2 5 3 4 5 3 3 6 4
12285010 2 2 4 2 5 3 5 5 4 3 4 3 5 6 1 3 4 5 2 5 5 5 1 3 4 5 4 4 4 5 4 2 4 5 4 5
12318010 1 1 1 1 1 1 1 1 1 1 1 1 4 4 1 1 6 6 1 3 5 5 1 6 5 5 5 4 2 2 1 3 6 6 5 4
12481010 3 3 3 4 1 1 1 1 5 1 4 4 6 6 1 5 4 6 6 5 4 6 5 5 4 6 5 5 3 6 2 5 5 5 5 5
12756010 2 1 1 1 1 1 1 1 1 1 1 1 2 5 1 5 6 5 2 2 2 4 1 6 6 6 4 2 5 5 2 5 5 5 4 4
12852030 1 1 1 1 1 1 1 1 1 1 1 1 1 5 1 4 3 4 2 4 1 5 1 4 5 5 1 3 1 5 1 5 5 5 1 2
13062010 3 1 2 1 4 4 5 4 3 2 1 4 2 1 4 4 5 2 2 3 2 5 2 3 5 5 5 6 4 4 1 5 5 6 5 5
13344010 3 3 2 1 2 2 1 1 2 2 2 2 5 4 3 5 5 5 4 5 4 3 3 4 5 5 5 4 5 3 4 5 5 5 4 3
13802020 2 2 3 3 2 2 2 2 3 3 3 3 4 4 4 4 4 5 4 4 2 3 3 3 3 3 4 4 4 4 4 4 4 4 5 5
13813010 1 1 1 1 3 1 1 1 1 1 1 1 1 4 1 3 3 4 4 4 4 5 3 2 2 5 4 3 4 4 4 4 2 5 5 5
13814010 2 1 2 1 2 1 1 1 1 2 2 1 3 6 1 5 5 6 2 1 4 5 1 5 4 6 2 2 3 6 1 3 3 6 5 2
13814040 3 4 5 4 3 1 1 1 2 1 5 1 6 3 3 1 3 4 4 6 4 2 2 1 5 2 5 6 4 2 2 1 1 4 2 4
13817010 2 1 2 1 1 1 1 1 1 2 1 1 2 2 1 5 6 5 2 5 2 6 1 6 5 5 2 5 4 4 3 5 5 4 4 5
13817011 2 2 2 1 4 1 1 1 6 1 6 6 5 4 1 5 3 1 5 6 4 6 3 4 3 3 4 5 4 4 4 4 5 4 5 5
13912010 4 2 3 2 2 1 2 2 3 3 3 3 5 3 3 6 3 3 5 6 4 3 4 5 4 3 4 6 4 2 5 2 4 2 6 6
14149020 4 3 4 3 5 3 4 5 4 4 5 3 5 4 5 3 2 3 4 3 5 2 2 1 2 4 4 4 1 1 4 2 2 1 2 5
14149030 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 6 5 5 2 5 1 6 1 3 3 4 4 4 2 5 1 5 5 5 4 3
14167010 2 1 3 2 1 1 3 1 2 1 3 1 4 3 1 5 3 5 2 2 3 4 1 2 4 4 3 4 2 3 3 4 4 5 4 4
14167040 1 1 1 1 1 1 1 1 1 1 1 1 2 6 1 6 5 5 2 3 4 6 1 6 6 6 5 1 1 1 1 6 5 6 1 2
14234010 4 3 2 1 3 1 3 2 3 2 2 3 5 2 4 5 4 5 5 4 4 2 5 5 3 4 4 5 4 2 4 2 2 5 5 5
14252010 3 2 4 3 4 3 4 3 3 1 2 1 3 5 1 5 6 6 2 3 2 3 1 5 3 6 1 3 2 3 2 3 4 4 2 4
